ts,username,ok,stage,latency_ms,noop_count,status_count,error
1769292618.378,user171,1,done,600073.344,19,9,
1769292618.378,user167,1,done,600074.736,19,9,
1769292618.378,user152,1,done,600079.320,19,9,
1769292618.378,user147,1,done,600080.748,19,9,
1769292618.378,user173,1,done,600073.052,19,9,
1769292618.378,user165,1,done,600075.031,19,9,
1769292618.378,user169,1,done,600073.758,19,9,
1769292618.378,user162,1,done,600076.097,19,9,
1769292618.378,user172,1,done,600073.788,19,9,
1769292618.378,user150,1,done,600080.419,19,9,
1769292618.378,user148,1,done,600081.248,19,9,
1769292618.378,user157,1,done,600079.336,19,9,
1769292618.378,user159,1,done,600078.697,19,9,
1769292618.378,user146,1,done,600081.805,19,9,
1769292618.378,user145,1,done,600082.042,19,9,
1769292618.378,user142,1,done,600082.889,19,9,
1769292618.379,user151,1,done,600080.587,19,9,
1769292618.390,user174,1,done,600085.438,19,9,
1769292618.391,user180,1,done,600084.628,19,9,
1769292618.391,user186,1,done,600081.748,19,9,
1769292618.392,user187,1,done,600081.910,19,9,
1769292618.392,user197,1,done,600078.796,19,9,
1769292618.392,user202,1,done,600077.625,19,9,
1769292618.392,user182,1,done,600085.230,19,9,
1769292618.393,user200,1,done,600078.873,19,9,
1769292618.393,user188,1,done,600082.046,19,9,
1769292618.393,user175,1,done,600087.825,19,9,
1769292618.393,user201,1,done,600078.748,19,9,
1769292618.393,user184,1,done,600086.068,19,9,
1769292618.393,user179,1,done,600087.220,19,9,
1769292618.393,user195,1,done,600080.794,19,9,
1769292618.393,user181,1,done,600086.843,19,9,
1769292618.394,user205,1,done,600079.028,19,9,
1769292618.394,user203,1,done,600079.621,19,9,
1769292618.394,user178,1,done,600088.322,19,9,
1769292618.394,user191,1,done,600082.433,19,9,
1769292618.394,user198,1,done,600080.845,19,9,
1769292618.394,user177,1,done,600088.607,19,9,
1769292618.394,user199,1,done,600080.609,19,9,
1769292618.394,user194,1,done,600081.805,19,9,
1769292618.394,user193,1,done,600082.252,19,9,
1769292618.394,user196,1,done,600081.340,19,9,
1769292618.394,user176,1,done,600088.861,19,9,
1769292618.394,user183,1,done,600087.149,19,9,
1769292618.394,user190,1,done,600083.123,19,9,
1769292618.394,user189,1,done,600083.261,19,9,
1769292618.394,user185,1,done,600086.109,19,9,
1769292618.394,user204,1,done,600079.645,19,9,
1769292618.394,user192,1,done,600082.419,19,9,
1769292618.403,user206,1,done,600087.537,19,9,
1769292618.403,user209,1,done,600086.632,19,9,
1769292618.403,user234,1,done,600080.388,19,9,
1769292618.407,user217,1,done,600089.231,19,9,
1769292618.408,user220,1,done,600089.206,19,9,
1769292618.408,user224,1,done,600088.591,19,9,
1769292618.409,user228,1,done,600087.948,19,9,
1769292618.410,user223,1,done,600090.787,19,9,
1769292618.410,user225,1,done,600090.399,19,9,
1769292618.412,user213,1,done,600094.835,19,9,
1769292618.412,user215,1,done,600094.600,19,9,
1769292618.412,user233,1,done,600090.325,19,9,
1769292618.412,user218,1,done,600094.091,19,9,
1769292618.412,user214,1,done,600095.242,19,9,
1769292618.412,user229,1,done,600091.463,19,9,
1769292618.412,user208,1,done,600096.590,19,9,
1769292618.412,user210,1,done,600096.150,19,9,
1769292618.412,user221,1,done,600093.396,19,9,
1769292618.412,user239,1,done,600086.065,19,9,
1769292618.413,user238,1,done,600086.789,19,9,
1769292618.413,user236,1,done,600089.255,19,9,
1769292618.413,user235,1,done,600089.434,19,9,
1769292618.413,user219,1,done,600094.180,19,9,
1769292618.413,user207,1,done,600097.204,19,9,
1769292618.413,user212,1,done,600096.149,19,9,
1769292618.413,user211,1,done,600096.295,19,9,
1769292618.413,user222,1,done,600093.437,19,9,
1769292618.413,user226,1,done,600092.438,19,9,
1769292618.413,user237,1,done,600089.481,19,9,
1769292618.413,user216,1,done,600094.871,19,9,
1769292618.413,user232,1,done,600090.982,19,9,
1769292618.413,user227,1,done,600092.264,19,9,
1769292618.413,user230,1,done,600091.592,19,9,
1769292618.413,user231,1,done,600091.321,19,9,
1769292618.420,user250,1,done,600090.939,19,9,
1769292618.422,user254,1,done,600091.584,19,9,
1769292618.425,user246,1,done,600096.581,19,9,
1769292618.425,user268,1,done,600090.874,19,9,
1769292618.425,user257,1,done,600093.663,19,9,
1769292618.425,user266,1,done,600091.138,19,9,
1769292618.425,user262,1,done,600092.318,19,9,
1769292618.425,user240,1,done,600098.368,19,9,
1769292618.425,user259,1,done,600093.384,19,9,
1769292618.425,user260,1,done,600092.817,19,9,
1769292618.425,user267,1,done,600091.035,19,9,
1769292618.425,user245,1,done,600096.892,19,9,
1769292618.425,user272,1,done,600089.823,19,9,
1769292618.425,user242,1,done,600097.708,19,9,
1769292618.425,user258,1,done,600093.558,19,9,
1769292618.425,user264,1,done,600091.942,19,9,
1769292618.425,user253,1,done,600094.767,19,9,
1769292618.425,user263,1,done,600092.093,19,9,
1769292618.425,user249,1,done,600095.880,19,9,
1769292618.425,user252,1,done,600095.048,19,9,
1769292618.426,user244,1,done,600098.178,19,9,
1769292618.426,user271,1,done,600090.904,19,9,
1769292618.426,user269,1,done,600091.602,19,9,
1769292618.426,user261,1,done,600093.564,19,9,
1769292618.426,user251,1,done,600096.358,19,9,
1769292618.426,user248,1,done,600097.271,19,9,
1769292618.426,user255,1,done,600095.374,19,9,
1769292618.426,user265,1,done,600092.709,19,9,
1769292618.426,user247,1,done,600097.640,19,9,
1769292618.426,user243,1,done,600098.602,19,9,
1769292618.426,user256,1,done,600095.319,19,9,
1769292618.426,user241,1,done,600099.318,19,9,
1769292618.437,user270,1,done,600101.926,19,9,
1769292618.438,user297,1,done,600093.608,19,9,
1769292618.438,user273,1,done,600102.393,19,9,
1769292618.438,user275,1,done,600101.881,19,9,
1769292618.439,user276,1,done,600102.748,19,9,
1769292618.439,user287,1,done,600099.871,19,9,
1769292618.441,user278,1,done,600104.283,19,9,
1769292618.441,user298,1,done,600096.852,19,9,
1769292618.441,user283,1,done,600103.073,19,9,
1769292618.441,user292,1,done,600098.336,19,9,
1769292618.441,user301,1,done,600096.232,19,9,
1769292618.442,user280,1,done,600104.334,19,9,
1769292618.442,user293,1,done,600098.446,19,9,
1769292618.442,user282,1,done,600103.629,19,9,
1769292618.442,user300,1,done,600096.606,19,9,
1769292618.442,user289,1,done,600100.344,19,9,
1769292618.442,user274,1,done,600105.512,19,9,
1769292618.442,user294,1,done,600098.101,19,9,
1769292618.442,user286,1,done,600102.690,19,9,
1769292618.442,user302,1,done,600096.155,19,9,
1769292618.442,user284,1,done,600103.123,19,9,
1769292618.442,user288,1,done,600102.047,19,9,
1769292618.442,user296,1,done,600097.661,19,9,
1769292618.442,user291,1,done,600099.268,19,9,
1769292618.442,user299,1,done,600097.223,19,9,
1769292618.442,user281,1,done,600104.551,19,9,
1769292618.442,user303,1,done,600096.410,19,9,
1769292618.442,user285,1,done,600103.331,19,9,
1769292618.442,user290,1,done,600099.831,19,9,
1769292618.442,user279,1,done,600104.975,19,9,
1769292618.442,user277,1,done,600105.507,19,9,
1769292618.443,user295,1,done,600098.617,19,9,
1769292618.453,user329,1,done,600100.426,19,9,
